country,country_name,year,quarter,time,period,gdp_per_worker,y
COL,Colombia,2021,1,2021.0,2021-Q1,15869.690330822274,9.672166300464434
COL,Colombia,2021,2,2021.25,2021-Q2,15467.364214590923,9.646487548610569
COL,Colombia,2021,3,2021.5,2021-Q3,15994.038704437397,9.67997135082372
COL,Colombia,2021,4,2021.75,2021-Q4,16393.48824509483,9.704639476737874
COL,Colombia,2022,1,2022.0,2022-Q1,16362.15396155034,9.702726261731753
COL,Colombia,2022,2,2022.25,2022-Q2,16129.963737762768,9.688433922992907
COL,Colombia,2022,3,2022.5,2022-Q3,16121.83202224788,9.68792965862588
COL,Colombia,2022,4,2022.75,2022-Q4,15806.756209627223,9.668192735820979
COL,Colombia,2023,1,2023.0,2023-Q1,16178.173552883223,9.69141830122979
COL,Colombia,2023,2,2023.25,2023-Q2,15680.14438109699,9.66015050184013
COL,Colombia,2023,3,2023.5,2023-Q3,15401.857913664177,9.642243424869276
COL,Colombia,2023,4,2023.75,2023-Q4,15552.368951775772,9.651968250169832
COL,Colombia,2024,1,2024.0,2024-Q1,16112.480630771082,9.68734944512235
COL,Colombia,2024,2,2024.25,2024-Q2,15764.3143097662,9.66550407656869
COL,Colombia,2024,3,2024.5,2024-Q3,15567.511615624762,9.65294143289213
COL,Colombia,2024,4,2024.75,2024-Q4,15616.589996312725,9.656089089465343
COL,Colombia,2025,1,2025.0,2025-Q1,15782.15921644412,9.666635417513435
COL,Colombia,2025,2,2025.25,2025-Q2,15638.024948118633,9.657460724035445
COL,Colombia,2025,3,2025.5,2025-Q3,15734.139147972077,9.663588098626112
COL,Colombia,2025,4,2025.75,2025-Q4,15372.778079146214,9.640353567053912
COL,Colombia,2026,1,2026.0,2026-Q1,15799.475075742204,9.66773199540887
CPV,Cabo Verde,2009,3,2009.5,2009-Q3,11297.06572717309,9.332298300818625
CPV,Cabo Verde,2009,4,2009.75,2009-Q4,11563.786555641156,9.355633645307742
CPV,Cabo Verde,2010,1,2010.0,2010-Q1,11353.275539287966,9.337261575044241
CPV,Cabo Verde,2010,2,2010.25,2010-Q2,11716.25558584754,9.368732522821281
CPV,Cabo Verde,2010,3,2010.5,2010-Q3,11687.432892763552,9.366269431784826
CPV,Cabo Verde,2010,4,2010.75,2010-Q4,12048.313015832566,9.396679930431976
CPV,Cabo Verde,2011,1,2011.0,2011-Q1,11718.604043372585,9.368932947109718
CPV,Cabo Verde,2011,2,2011.25,2011-Q2,12229.266708190898,9.41158726843645
CPV,Cabo Verde,2011,3,2011.5,2011-Q3,12623.18825733264,9.443290739476131
CPV,Cabo Verde,2011,4,2011.75,2011-Q4,13444.802008638935,9.506347842572888
CPV,Cabo Verde,2012,1,2012.0,2012-Q1,12545.923483501749,9.437151069762093
CPV,Cabo Verde,2012,2,2012.25,2012-Q2,12700.806520609993,9.449420775990133
CPV,Cabo Verde,2012,3,2012.5,2012-Q3,12922.62497918022,9.46673492846318
CPV,Cabo Verde,2012,4,2012.75,2012-Q4,13838.951823863576,9.535242491033628
CPV,Cabo Verde,2013,1,2013.0,2013-Q1,13318.125886601774,9.496881234991248
CPV,Cabo Verde,2013,2,2013.25,2013-Q2,13075.580351142638,9.47850167426874
CPV,Cabo Verde,2013,3,2013.5,2013-Q3,13290.042922129249,9.494770381358151
CPV,Cabo Verde,2013,4,2013.75,2013-Q4,14200.525556720077,9.561034253941086
CPV,Cabo Verde,2014,1,2014.0,2014-Q1,13663.87687898653,9.522510905374943
CPV,Cabo Verde,2014,2,2014.25,2014-Q2,13609.139046911116,9.51849683478427
CPV,Cabo Verde,2014,3,2014.5,2014-Q3,13979.641754636696,9.545357389896992
CPV,Cabo Verde,2014,4,2014.75,2014-Q4,14666.98115510249,9.593354066395756
CPV,Cabo Verde,2015,1,2015.0,2015-Q1,14264.596730999689,9.565535993426739
CPV,Cabo Verde,2015,2,2015.25,2015-Q2,14315.793576166496,9.569118652682107
CPV,Cabo Verde,2015,3,2015.5,2015-Q3,13471.45241918588,9.508328089811764
CPV,Cabo Verde,2015,4,2015.75,2015-Q4,13578.52392662713,9.51624470055309
CPV,Cabo Verde,2016,1,2016.0,2016-Q1,12271.488936963868,9.41503387809873
CPV,Cabo Verde,2016,2,2016.25,2016-Q2,11291.105209282476,9.331770545114479
CPV,Cabo Verde,2016,3,2016.5,2016-Q3,10936.208993282104,9.29983448879928
CPV,Cabo Verde,2016,4,2016.75,2016-Q4,10715.85775878948,9.279479956853883
CPV,Cabo Verde,2017,1,2017.0,2017-Q1,10198.277365100375,9.229974099235081
CPV,Cabo Verde,2017,2,2017.25,2017-Q2,9357.277957166005,9.143909710634214
CPV,Cabo Verde,2017,3,2017.5,2017-Q3,9213.419940688038,9.128416389388711
