STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1985,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1986,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1987,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1988,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1989,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1990,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1991,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1992,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1993,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1994,38.818463,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1995,36.5671446236559,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1996,47.5,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1997,47.5,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1998,47.5,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1999,46.6195310771889,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2000,47.3575747311828,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2001,47.500014516129,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2002,47.263,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2003,48.7627535833333,0,,,,,,R,OL,true,T
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2004,47.8453125,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2005,49.4945975,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2006,49.9253308333333,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2007,49.9620177703972,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2008,50.2496147435897,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2009,50.325,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2010,46.4524610013175,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2011,46.747007738581,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2012,50.9214,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2013,55.3775,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2014,57.2475,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2015,61.1434615416667,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2016,67.8660857692308,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2017,68.0269040822312,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2018,72.083247177304,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2019,77.7379491783367,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,2020,76.8135364354897,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AGO,XDC_USD,PA_RT,A,1950,0.00000002877436,0,,,,,,R,OL,true,
