"ref_area","source","indicator","sex","classif1","time","obs_value"
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2019",6541.796
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2019",2128.823
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2019",4412.973
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2019",1622.506
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2019",601.393
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2019",1021.113
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2018",8183.685
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2018",2618.461
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2018",5565.223
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2018",6475.785
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2018",2016.305
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2018",4459.48
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2018",1707.899
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2018",602.156
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2018",1105.743
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2017",8192.302
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2017",2502.949
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2017",5689.353
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2017",6410.78
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2017",1907.258
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2017",4503.521
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2017",1781.522
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2017",595.69
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2017",1185.832
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2016",7984.949
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2016",2483.512
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2016",5501.437
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2016",6331.049
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2016",1920.878
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2016",4410.17
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2016",1653.9
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2016",562.634
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2016",1091.266
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2015",7800.839
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2015",2463.192
