time,ybar,tau,n,n_delta
2001.5,-4.898523578324163,-4.205574131861074,52,52
2001.75,-4.89470693015062,-4.2017574836875315,52,52
2002.0,-4.956385835423734,-4.1920250564093395,55,52
2002.25,-4.9485854930548,-4.184224714040406,55,55
2002.5,-4.94540805979577,-4.1810472807813746,55,55
2002.75,-4.94085151767479,-4.176490738660394,55,55
2003.0,-4.970765814352037,-4.172452277578652,56,55
2003.25,-4.96592796327892,-4.167614426505535,56,56
2003.5,-4.955050395670475,-4.159524500297194,57,56
2003.75,-4.945976090455329,-4.150450195082049,57,57
2004.0,-4.9861750896869514,-4.14211246426599,58,57
2004.25,-4.977791557128683,-4.133728931707722,58,58
2004.5,-4.9708961432984715,-4.126833517877511,58,58
2004.75,-4.959244371828541,-4.115181746407581,58,58
2005.0,-4.9993566531131055,-4.108956395458099,61,58
2005.25,-4.986907303168563,-4.096507045513556,61,61
2005.5,-4.9805045958452645,-4.09010433819026,61,61
2005.75,-4.970892725111807,-4.080492467456802,61,61
2006.0,-4.994792656293236,-4.0722756008537475,62,61
2006.25,-4.987538208297066,-4.065021152857578,62,62
2006.5,-4.980452158157637,-4.057935102718149,62,62
2006.75,-4.97064829473642,-4.048131239296932,62,62
2007.0,-4.998512432605066,-4.0405634545284475,63,62
2007.25,-4.990339689802302,-4.032390711725684,63,63
2007.5,-4.98149401753807,-4.023545039461452,63,63
2007.75,-4.972572363949687,-4.014623385873068,63,63
2008.0,-4.986709528727137,-4.012926807440781,65,63
2008.25,-4.983401623963046,-4.009618902676689,65,65
2008.5,-4.986389353070148,-4.0126066317837905,65,65
2008.75,-5.000126719848205,-4.026343998561848,65,65
2009.0,-5.061078211884628,-4.041777100351081,67,65
2009.25,-5.054330056684197,-4.03502894515065,67,67
2009.5,-5.042559387448246,-4.023258275914698,67,67
2009.75,-5.035796249294636,-4.016495137761089,67,67
2010.0,-5.0892085470065895,-4.011936821292046,70,67
2010.25,-5.074903991913961,-3.9976322661994157,70,70
2010.5,-5.069035053833346,-3.9917633281188003,70,70
2010.75,-5.060047449310007,-3.982775723595462,70,70
2011.0,-5.058241157467194,-3.9809694317526487,70,70
2011.25,-5.05151137260084,-3.974239646886294,70,70
2011.5,-5.046194093047073,-3.9689223673325276,70,70
2011.75,-5.0460933381280695,-3.9688216124135236,70,70
2012.0,-5.045044788865781,-3.9677730631512356,70,70
2012.25,-5.043328277284914,-3.96605655157037,70,70
2012.5,-5.039440790959671,-3.962169065245127,70,70
2012.75,-5.034521271569059,-3.957249545854512,70,70
2013.0,-5.027994244797254,-3.950722519082708,70,70
2013.25,-5.0192109285985795,-3.9419392028840345,70,70
2013.5,-5.013817733287959,-3.936546007573413,70,70
2013.75,-5.011143561534732,-3.9338718358201863,70,70
2014.0,-5.030993966120925,-3.9297850912248142,71,70
2014.25,-5.02621838522413,-3.925009510328019,71,71
2014.5,-5.024160124097891,-3.922951249201781,71,71
2014.75,-5.017420714756769,-3.916211839860657,71,71
2015.0,-4.987513263358671,-3.912664005458681,70,70
2015.25,-4.9829221925967015,-3.908072934696711,70,70
2015.5,-4.978858456546426,-3.9040091986464356,70,70
2015.75,-4.979767828810291,-3.904918570910301,70,70
2016.0,-5.004270353679678,-3.9061696540298154,71,70
2016.25,-4.996935200099158,-3.8988345004492952,71,71
2016.5,-4.996425269212556,-3.8983245695626927,71,71
2016.75,-4.988145708509453,-3.8900450088595893,71,71
2017.0,-5.011832328061928,-3.885377746241759,73,71
2017.25,-5.004163966170823,-3.877709384350654,73,73
2017.5,-4.989166366131802,-3.874264793392512,72,72
2017.75,-4.983712549056701,-3.8688109763174103,72,72
2018.0,-4.979256086829507,-3.864354514090216,72,72
2018.25,-4.9716201726370235,-3.856718599897732,72,72
2018.5,-4.970186167818018,-3.8552845950787273,72,72
2018.75,-4.9709073835384014,-3.85600581079911,72,72
2019.0,-4.967319329468105,-3.8524177567288134,72,72
2019.25,-4.959495023083388,-3.8445934503440977,72,72
2019.5,-4.9580605032602385,-3.843158930520948,72,72
2019.75,-4.9611778262147235,-3.8462762534754322,72,72
2020.0,-4.960134739743476,-3.845233167004184,72,72
2020.25,-5.028116423422129,-3.913214850682838,72,72
2020.5,-4.973322374968067,-3.858420802228776,72,72
2020.75,-4.9642167470045315,-3.84931517426524,72,72
2021.0,-4.94521554383799,-3.8303139710986986,72,72
2021.25,-4.913358512096812,-3.8252696167954214,71,71
2021.5,-4.911036794258731,-3.8229478989573398,71,71
2021.75,-4.902740130528628,-3.814651235227236,71,71
2022.0,-4.845182156306082,-3.813714041018162,69,69
2022.25,-4.8445869755067505,-3.8131188602188293,69,69
2022.5,-4.844687108936112,-3.8132189936481904,69,69
2022.75,-4.8439761082863075,-3.8125079929983863,69,69
2023.0,-4.8266117778742625,-3.8136916072134217,66,66
2023.25,-4.824846086720149,-3.8119259160593084,66,66
2023.5,-4.824658483176998,-3.811738312516156,66,66
2023.75,-4.822718869375883,-3.809798698715042,66,66
2024.0,-4.77248284362522,-3.8067825256334804,63,63
2024.25,-4.767713232416097,-3.8020129144243557,63,63
2024.5,-4.786568328097605,-3.7962029449668937,62,62
2024.75,-4.783527574960967,-3.7931621918302563,62,62
2025.0,-4.561894374995499,-3.788867287643077,53,53
2025.25,-4.52158664586373,-3.7838890650078882,52,52
2025.5,-4.507897078141932,-3.7792531166987122,51,51
2025.75,-4.3442922993521815,-3.7781782280907708,44,44
2026.0,-4.064846754651045,-3.78056465081253,23,23
2026.25,-3.731796975327871,-3.774327830278088,3,3
