time,ybar,tau,n,n_delta
2022.25,-5.49720363520138,-4.665814000811639,40,40
2022.5,-5.496777248116669,-4.665387613726927,40,40
2022.75,-5.4965085991968765,-4.665118964807135,40,40
2023.0,-5.523176201497814,-4.671964050152816,37,37
2023.25,-5.519028334107718,-4.667816182762721,37,37
2023.5,-5.516751773593864,-4.6655396222488665,37,37
2023.75,-5.51204561362077,-4.660833462275772,37,37
2024.0,-5.483347024452336,-4.658807534443185,34,34
2024.25,-5.4785077437587715,-4.653968253749619,34,34
2024.5,-5.469081603900322,-4.644542113891171,34,34
2024.75,-5.466912481579353,-4.642372991570202,34,34
2025.0,-5.276858520412888,-4.640234198469871,27,27
2025.25,-5.223832955356496,-4.630369025429049,26,26
2025.5,-5.230939810327439,-4.627855411622035,25,25
2025.75,-5.111691900292563,-4.624719503959436,18,18
2026.0,-4.652368344737385,-4.616071107902165,7,7
2026.25,-4.154173514257972,-4.608383299073667,1,1
